,dataname,svorLin_acc,svorim_acc,clm_acc,acc
0,ERA_or,0.24453333333333332,0.24586666666666662,0.27519999999999994,0.2612
1,ESL_or,0.705737705,0.7142076499999999,0.706010929,0.7161201333333334
2,LEV_or,0.6206666666666665,0.6234666666666667,0.6218666666666666,0.6248000000000001
3,SWD_or,0.5663999999999999,0.5706666666666667,0.5697333333333334,0.576
4,automobile_or,0.6038461543333333,0.6698717936666668,0.564102565,0.7076922333333333
5,balance_or,0.9048832286666665,0.9976645436666667,0.9038216569999996,0.9811040666666667
6,bondrate_or,0.551111111,0.5288888876666666,0.3288888886666667,0.5666665666666667
7,car_or,0.9234567913333334,0.9871913586666666,0.9212191366666665,0.9202930666666667
8,contact_or,0.6555555573333334,0.6222222239999999,0.611111112,0.6500001666666667
9,eucalyptus_or,0.6414855076666666,0.6423913050000002,0.21702898499999995,0.6813406
10,newthyroid_or,0.9691358010000002,0.9666666650000001,0.9648148130000003,0.9524689666666665
11,pasture_or,0.6703703726666665,0.6666666696666665,0.5074074076666667,0.7222225000000001
12,squash-stored_or,0.6461538476666665,0.6384615396666666,0.37692307599999997,0.6538463666666668
13,squash-unstored_or,0.7000000003333333,0.7384615386666665,0.31538461333333334,0.7564104999999999
14,tae_or,0.523684211,0.6043859670000002,0.507894737,0.5385965333333332
15,toy_or,0.27288889133333327,0.9813333333333332,0.34133333399999993,0.28577773333333334
16,winequality-red_or,0.5938333333333333,0.6170833333333333,0.594,0.60675
17,abalone_5bins,0.45904941899999996,0.47566887050000006,0.47293043749999997,0.4708530000000001
18,bank1_5bins,0.7210636220000001,0.7163227710000001,0.722752396,0.6027328
19,bank2_5bins,0.3469693225,0.34458543799999997,0.36098312200000005,0.34105595
20,calhousing_5bins,0.5043972665,0.5026891165,0.5115202535000001,0.4698975999999999
21,census1_5bins,0.429780176,0.4423548145,0.458129507,0.47541685000000006
22,census2_5bins,0.409225557,0.43155109750000004,0.4315333865,0.4619575
23,computer1_5bins,0.612055117,0.6060677210000001,0.6215768655000001,0.5551595500000001
24,computer2_5bins,0.6668650049999999,0.6570410320000001,0.660958225,0.5998822500000001
25,housing_5bins,0.6512135914999999,0.674999999,0.6468446605,0.6434466500000001
26,machine_5bins,0.5940677965000001,0.5872881350000001,0.6033898310000001,0.6059321999999999
27,pyrim_5bins,0.5020833335,0.5062500005,0.5125,0.48333319999999996
28,stock_5bins,0.6257142865,0.8915714275000001,0.634857143,0.85171425
29,abalone10_10bins,0.25530374549999996,0.2711992435,0.2787063254999999,0.276141
30,bank1_10bins,0.523648981,0.5039363785,0.5258843030000001,0.3821665999999999
31,bank2_10bins,0.1841197495,0.17888998350000004,0.19741283799999998,0.1661328
32,calhousing_10bins,0.28934358350000006,0.29027086350000003,0.3071766715,0.28181310000000004
33,census1_10bins,0.24383873599999997,0.24382767899999996,0.2611084074999999,0.26428645
34,census2_10bins,0.22140010599999996,0.23821510749999997,0.2333554735,0.25371055
35,computer1_10bins,0.412178695,0.396422392,0.43041893200000003,0.35682769999999997
36,computer2_10bins,0.458485187,0.45149993850000003,0.4788335194999999,0.39750834999999995
37,housing10_10bins,0.40121359200000006,0.44441747449999996,0.41529126149999995,0.43082529999999997
38,machine10_10bins,0.357627119,0.35084745799999995,0.36949152649999994,0.39661019999999997
39,pyrim10_10bins,0.2937500009999999,0.260416667,0.25625,0.23125006499999995
40,stock10_10bins,0.41214285850000004,0.7535714289999998,0.44499999949999997,0.6958571499999999
41,wlb_bd,,0.311938265,0.314755228,0.3155113
42,winequality_bd,,0.5765001426666667,0.5398442443333333,0.5605720333333334
43,winequality-white_bd,,0.5482592343333332,0.5256747213333334,0.5773991666666666
