,dataname,svorLin_mae,svorim_mae,clm_mae,mae
0,ERA_or,1.2145333333333332,1.2157333333333336,1.2370666666666668,1.2556
1,ESL_or,0.3103825333333334,0.3010928666666667,0.30956283333333334,0.29836060000000003
2,LEV_or,0.4122666666666667,0.41226666666666667,0.4112,0.41106666666666675
3,SWD_or,0.45119999999999993,0.44466666666666665,0.45160000000000006,0.43600000000000005
4,automobile_or,0.4570512333333333,0.39743593333333327,0.5980769333333333,0.34871789999999997
5,balance_or,0.10785566666666666,0.0023354666666666668,0.10976646666666666,0.018895977333333334
6,bondrate_or,0.5888887999999999,0.6177777999999999,0.9311111000000002,0.5777777666666668
7,car_or,0.07723753333333333,0.012808666666666666,0.07993826666666665,0.08148148333333331
8,contact_or,0.43333330000000003,0.4888888333333333,0.5444443999999999,0.47222216666666667
9,eucalyptus_or,0.3860507666666667,0.3913043666666667,1.8695651333333336,0.3297101333333333
10,newthyroid_or,0.030864399999999997,0.033333499999999995,0.035185466666666665,0.04753086333333333
11,pasture_or,0.3296294,0.3333330333333334,0.5703703999999999,0.27777749999999996
12,squash-stored_or,0.36410233333333325,0.37179466666666666,0.8307693,0.3743587666666667
13,squash-unstored_or,0.2999997666666667,0.26153823333333337,0.8743590333333333,0.24358950666666662
14,tae_or,0.5587719333333332,0.45263149999999996,0.6324561,0.5885965333333334
15,toy_or,0.9666669000000002,0.018666666666666668,0.9177777666666667,1.0684444333333334
16,winequality-red_or,0.4392500000000001,0.41866666666666663,0.43933333333333324,0.4224166666666667
17,abalone_5bins,0.6871261000000001,0.65604335,0.7163833499999999,0.7051778499999999
18,bank1_5bins,0.28348070000000003,0.28839364999999995,0.28248585,0.42495089999999996
19,bank2_5bins,0.91411245,0.9194098499999999,0.9952016,0.9456205000000001
20,calhousing_5bins,0.5938041999999999,0.5994803000000001,0.5975671,0.6623059500000001
21,census1_5bins,0.73927425,0.7252508999999999,0.7482419,0.6544695
22,census2_5bins,0.78190305,0.7387885500000001,0.79256995,0.6728457999999999
23,computer1_5bins,0.43785834999999995,0.4467313,0.4304684,0.5112642
24,computer2_5bins,0.3661709,0.37445140000000005,0.37537505000000004,0.4418991
25,housing_5bins,0.39368929999999996,0.35461170000000003,0.39927194999999993,0.39805834999999995
26,machine_5bins,0.43728819999999996,0.45508475,0.43135594999999993,0.43220344999999993
27,pyrim_5bins,0.6354167500000001,0.5895835,0.73541665,0.63333325
28,stock_5bins,0.3955714,0.1084285,0.39214289999999996,0.14899999999999997
29,abalone10_10bins,1.4373308000000002,1.3606861499999998,1.54246145,1.4974665000000003
30,bank1_10bins,0.5477831,0.5764799500000001,0.5497176500000001,0.8410648499999999
31,bank2_10bins,1.8634224500000003,1.8828632000000003,2.02567465,2.086418
32,calhousing_10bins,1.24034175,1.2485944000000002,1.25609565,1.3319550000000002
33,census1_10bins,1.5293865000000002,1.5096334000000002,1.6178092,1.381618
34,census2_10bins,1.6230959999999999,1.5114682499999996,1.7068609000000001,1.4273779999999998
35,computer1_10bins,0.8779473,0.9054374,0.8811852,1.0144961
36,computer2_10bins,0.7523738499999999,0.7680922500000001,0.7364509499999999,0.8683776
37,housing10_10bins,0.8859224000000001,0.7597086499999999,0.8888349,0.840291
38,machine10_10bins,0.9194915000000001,0.9101695000000001,0.9127118000000001,0.9033900000000001
39,pyrim10_10bins,1.3999998999999999,1.33958335,1.7124999500000004,1.414583
40,stock10_10bins,0.80157145,0.25285715,0.8480000499999999,0.32071425
41,wlb_bd,,0.9651292333333331,0.9863480333333333,0.9781431
42,winequality_bd,,0.46233493333333336,0.5163336666666667,0.4838400666666667
43,winequality-white_bd,,0.4963001000000001,0.5316266,0.46613406666666657
