,dataname,svorLin_time,svorim_time,clm_time,time
0,ERA_or,93.15105376666669,20.012287433333338,0.11668146666666669,0.007920700000000001
1,ESL_or,19.471685466666667,0.43748499999999996,0.041127800000000006,0.006256933333333333
2,LEV_or,513.3171789,4.900618033333333,0.04653910000000001,0.006824100000000001
3,SWD_or,46.063415299999996,2.5773308000000004,0.0529572,0.011465066666666668
4,automobile_or,0.16633513333333333,0.2923666333333333,0.4577175666666667,0.42209703333333337
5,balance_or,0.11707473333333333,0.44155196666666663,0.03192263333333333,0.7279131666666666
6,bondrate_or,0.017926333333333332,0.010332333333333334,0.1257388,0.0099386
7,car_or,9.73915073333333,3.1631831333333333,1.0844760333333334,6.170466233333332
8,contact_or,0.0174698,0.0072586000000000005,0.07443620000000001,0.00034806666666666665
9,eucalyptus_or,19.060297400000003,0.5272643666666667,4.1192293666666675,0.2892166666666667
10,newthyroid_or,0.017609733333333336,0.0129697,0.02295856666666666,0.006423866666666666
11,pasture_or,0.012562666666666666,0.005624633333333332,0.11016329999999999,0.005381866666666667
12,squash-stored_or,0.017388666666666667,0.012375966666666665,0.1510309333333333,0.012993633333333334
13,squash-unstored_or,0.015025066666666668,0.006324266666666667,0.15482496666666665,0.0056769333333333335
14,tae_or,0.6880447333333334,0.09491296666666668,0.25562213333333333,0.06724353333333334
15,toy_or,15.754720566666666,0.14321466666666666,0.018575366666666662,0.0008194666666666666
16,winequality-red_or,1004.4561156666667,11.8334058,0.100624,0.0333962
17,abalone_5bins,25.3022502,8.01552575,0.81678145,0.28247640000000007
18,bank1_5bins,0.15314410000000003,0.026675749999999998,0.00516825,0.006440899999999999
19,bank2_5bins,0.11939339999999998,0.04582295,0.02895755,0.025807900000000005
20,calhousing_5bins,1.6314851000000004,0.15526035000000002,0.0196088,0.01843525
21,census1_5bins,6.1700165,0.2675107,0.027845150000000003,0.0036228999999999996
22,census2_5bins,6.313231999999999,0.25755925,0.038942950000000004,0.008681149999999999
23,computer1_5bins,0.33757630000000005,0.03333555,0.017832049999999995,0.02243155
24,computer2_5bins,0.13987619999999998,0.0245373,0.02242745,0.09141029999999999
25,housing_5bins,0.2117984,0.2775898,0.0424381,0.022763300000000004
26,machine_5bins,0.9201706499999999,0.0654651,0.01676795,0.0079322
27,pyrim_5bins,0.026593450000000008,0.01909135,0.11247690000000002,0.06610010000000001
28,stock_5bins,46.50783615,0.7751266999999998,0.05766795,0.23606434999999998
29,abalone10_10bins,159.3536095,9.69054865,0.9716681999999999,0.2530444499999999
30,bank1_10bins,0.7724358,0.049201499999999995,0.01299475,0.014982000000000004
31,bank2_10bins,0.09998625,0.09379225,0.03968144999999999,0.07175075
32,calhousing_10bins,6.3361729,0.3008506000000001,0.028518150000000003,0.013419
33,census1_10bins,4.3687106500000015,0.28713175,0.0318578,0.00369805
34,census2_10bins,6.580979499999998,0.44155500000000003,0.04632964999999999,0.012587700000000002
35,computer1_10bins,1.4421662,0.025384100000000003,0.0267447,0.019435849999999998
36,computer2_10bins,0.5873039,0.06396605000000001,0.03763255,0.07060114999999999
37,housing10_10bins,0.4206908499999999,1.8856388,0.06485055,0.033116650000000004
38,machine10_10bins,5.83557435,0.07442315000000001,0.024187099999999996,0.004868849999999999
39,pyrim10_10bins,0.1448086,0.0186833,0.12804115000000002,0.052934100000000005
40,stock10_10bins,118.34505320000001,15.530047950000005,0.09396795,0.13868704999999998
41,wlb_bd,,11416.75423223333,1.3013626,0.5079111
42,winequality_bd,,43.18747986666667,0.5165353666666667,0.7768768
43,winequality-white_bd,,336.8330188,0.3341,1.0939211
