num,lambda,trainprob,trainacc,trainmae,prob,acc,mae
1,64,0.230157,0.316751,0.971693,0.238312,0.339587,0.906191
2,64,0.231076,0.318111,0.968778,0.225531,0.294559,1.02251
3,64,0.231094,0.319148,0.967094,0.225265,0.287054,1.04503
4,64,0.23079,0.318629,0.969426,0.22932,0.300188,0.983114
5,64,0.230922,0.317075,0.970398,0.226727,0.311445,0.966229
6,64,0.230735,0.31714,0.970333,0.228655,0.317073,0.971857
7,64,0.230647,0.316945,0.971888,0.231947,0.337711,0.956848
8,64,0.23101,0.317075,0.96988,0.226073,0.283302,1.02064
9,64,0.230411,0.317658,0.96988,0.233499,0.322702,0.953096
10,64,0.230916,0.318435,0.967483,0.22762,0.309568,1.01689
11,64,0.230919,0.31714,0.970527,0.228647,0.315197,0.962477
12,64,0.230436,0.318868,0.968716,0.234846,0.300752,0.973684
13,32,0.233416,0.319192,0.967614,0.23073,0.289474,1.04135
14,64,0.230876,0.317443,0.969558,0.228241,0.334586,0.964286
15,32,0.233028,0.317572,0.972602,0.234955,0.321429,0.930451
16,64,0.230674,0.318738,0.968975,0.231027,0.321429,0.971805
17,64,0.230598,0.317831,0.972861,0.23326,0.332707,0.932331
18,64,0.230622,0.318803,0.970205,0.230348,0.315789,0.954887
19,64,0.230383,0.318026,0.968262,0.235203,0.321429,0.958647
20,64,0.230852,0.317702,0.968845,0.228883,0.317669,0.992481
21,64,0.230929,0.318997,0.966772,0.227352,0.280075,1.02444
